company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
6,2017,+,-,+,Mixed
6,2018,+,-,+,Mixed
6,2019,+,-,-,Reinvestor
6,2020,+,-,+,Mixed
6,2021,+,-,+,Mixed
6,2022,+,-,+,Mixed
6,2023,+,-,-,Reinvestor
6,2024,+,-,+,Mixed
7,2010,+,-,+,Mixed
7,2011,+,-,-,Reinvestor
7,2012,+,+,-,Liquidating Assets
7,2013,+,-,-,Shareholder Returns
7,2014,+,-,+,Mixed
7,2015,+,-,+,Mixed
7,2016,-,+,+,Distress Signal
7,2017,+,+,+,Cash Accumulator
7,2018,+,-,+,Mixed
7,2019,+,-,-,Shareholder Returns
7,2020,+,-,-,Shareholder Returns
7,2021,+,-,+,Mixed
7,2022,+,-,-,Shareholder Returns
7,2023,+,-,+,Mixed
7,2024,+,-,+,Mixed
8,2010,+,+,-,Liquidating Assets
8,2011,+,-,+,Mixed
8,2012,+,-,+,Mixed
8,2013,+,+,+,Cash Accumulator
8,2014,+,-,+,Mixed
8,2015,+,-,+,Mixed
8,2016,+,+,-,Liquidating Assets
8,2017,+,-,+,Mixed
8,2018,+,-,-,Shareholder Returns
8,2019,+,-,+,Mixed
8,2020,+,-,+,Mixed
8,2021,+,+,+,Cash Accumulator
8,2022,+,-,+,Mixed
8,2023,+,-,-,Shareholder Returns
8,2024,+,-,+,Mixed
9,2010,+,-,+,Mixed
9,2011,+,-,+,Mixed
9,2012,+,-,+,Mixed
9,2013,+,-,-,Shareholder Returns
9,2014,+,-,+,Mixed
9,2015,+,-,-,Shareholder Returns
9,2016,+,-,-,Shareholder Returns
9,2017,+,-,-,Shareholder Returns
9,2018,+,-,-,Shareholder Returns
9,2019,+,+,-,Liquidating Assets
9,2020,+,-,-,Shareholder Returns
9,2021,-,-,+,Growth Funded by Debt
9,2022,+,-,-,Shareholder Returns
9,2023,+,-,-,Shareholder Returns
9,2024,+,-,-,Shareholder Returns
10,2013,+,-,+,Mixed
10,2014,+,-,-,Shareholder Returns
10,2015,+,-,+,Mixed
10,2016,+,-,-,Shareholder Returns
10,2017,+,-,-,Shareholder Returns
10,2018,+,-,-,Shareholder Returns
10,2019,+,-,-,Shareholder Returns
10,2020,+,-,-,Shareholder Returns
10,2021,+,-,-,Shareholder Returns
10,2022,+,+,+,Cash Accumulator
10,2023,+,-,+,Mixed
10,2024,+,-,+,Mixed
11,2011,+,-,+,Mixed
11,2012,+,-,-,Shareholder Returns
11,2013,+,-,+,Mixed
11,2014,+,-,+,Mixed
11,2015,+,-,+,Mixed
11,2016,+,-,+,Mixed
11,2017,+,+,+,Cash Accumulator
11,2018,+,-,-,Shareholder Returns
11,2019,+,-,-,Shareholder Returns
11,2020,+,+,+,Cash Accumulator
11,2021,+,-,+,Mixed
11,2022,+,-,-,Shareholder Returns
11,2023,+,-,+,Mixed
11,2024,+,-,+,Mixed
12,2021,+,-,+,Mixed
12,2022,+,-,-,Shareholder Returns
12,2023,+,+,+,Cash Accumulator
12,2024,+,-,-,Shareholder Returns
13,2011,+,-,-,Reinvestor
13,2012,+,-,+,Mixed
13,2013,+,-,+,Mixed
13,2014,+,-,+,Mixed
13,2015,+,-,-,Shareholder Returns
13,2016,+,+,-,Liquidating Assets
13,2017,+,-,+,Mixed
13,2018,+,-,-,Shareholder Returns
13,2019,+,-,-,Shareholder Returns
13,2020,+,-,+,Mixed
13,2021,+,-,-,Shareholder Returns
13,2022,-,-,+,Growth Funded by Debt
13,2023,+,-,+,Mixed
13,2024,+,-,+,Mixed
13,2010,+,-,+,Mixed
14,2011,+,-,-,Reinvestor
14,2012,+,-,+,Mixed
14,2013,+,-,-,Shareholder Returns
14,2014,+,-,+,Mixed
14,2015,+,-,-,Shareholder Returns
14,2016,+,-,+,Mixed
14,2017,+,-,-,Shareholder Returns
14,2018,+,-,+,Mixed
14,2019,+,-,-,Reinvestor
14,2020,+,-,+,Mixed
14,2021,+,-,+,Mixed
14,2022,+,-,+,Mixed
14,2023,+,-,-,Shareholder Returns
14,2024,+,+,-,Liquidating Assets
15,2011,+,+,-,Liquidating Assets
15,2012,+,-,+,Mixed
15,2013,+,-,-,Shareholder Returns
15,2014,+,-,-,Shareholder Returns
15,2015,+,-,+,Mixed
15,2016,+,-,+,Mixed
15,2017,+,+,+,Cash Accumulator
15,2018,+,-,-,Shareholder Returns
15,2019,+,-,+,Mixed
15,2020,-,-,+,Growth Funded by Debt
15,2021,+,-,-,Shareholder Returns
15,2022,+,+,-,Liquidating Assets
15,2023,+,-,+,Mixed
15,2024,+,-,+,Mixed
15,2010,+,-,-,Reinvestor
16,2012,+,-,-,Shareholder Returns
16,2013,+,-,-,Shareholder Returns
16,2014,-,-,+,Growth Funded by Debt
16,2015,+,-,-,Shareholder Returns
16,2016,+,-,-,Shareholder Returns
16,2017,+,-,-,Shareholder Returns
16,2018,+,+,-,Liquidating Assets
16,2019,+,-,+,Mixed
16,2020,+,-,+,Mixed
16,2021,+,-,-,Shareholder Returns
16,2022,+,-,-,Shareholder Returns
16,2023,+,-,-,Shareholder Returns
16,2024,+,-,+,Mixed
17,2011,+,-,-,Shareholder Returns
17,2012,+,+,-,Liquidating Assets
17,2013,-,-,+,Growth Funded by Debt
17,2014,+,-,+,Mixed
17,2015,+,-,+,Mixed
17,2016,+,-,-,Shareholder Returns
17,2017,+,-,-,Shareholder Returns
17,2018,+,-,-,Shareholder Returns
17,2019,+,-,-,Shareholder Returns
17,2020,+,-,-,Shareholder Returns
17,2021,+,-,+,Mixed
17,2022,-,-,+,Growth Funded by Debt
17,2023,+,+,-,Liquidating Assets
17,2024,+,-,-,Reinvestor
17,2010,+,-,-,Reinvestor
18,2011,+,-,-,Reinvestor
18,2012,+,-,-,Reinvestor
18,2013,+,-,+,Mixed
18,2014,+,-,+,Mixed
18,2015,+,-,-,Shareholder Returns
18,2016,+,-,+,Mixed
18,2017,+,+,+,Cash Accumulator
18,2018,+,-,-,Shareholder Returns
18,2019,+,-,-,Shareholder Returns
18,2020,+,-,-,Shareholder Returns
18,2021,+,-,-,Shareholder Returns
18,2022,+,-,+,Mixed
18,2023,+,-,+,Mixed
18,2024,+,-,-,Shareholder Returns
19,2010,+,-,+,Mixed
19,2011,+,-,+,Mixed
19,2012,+,-,-,Reinvestor
19,2013,+,-,-,Shareholder Returns
19,2014,+,-,-,Shareholder Returns
19,2015,+,-,-,Shareholder Returns
19,2016,+,-,-,Shareholder Returns
19,2017,+,-,-,Shareholder Returns
19,2018,+,-,+,Mixed
19,2019,+,-,+,Mixed
19,2020,+,-,+,Mixed
19,2021,+,-,+,Mixed
19,2022,+,-,+,Mixed
19,2023,-,-,+,Growth Funded by Debt
19,2024,+,-,-,Reinvestor
20,2012,+,-,+,Mixed
20,2013,+,+,+,Cash Accumulator
20,2014,+,-,-,Reinvestor
20,2015,+,-,-,Reinvestor
20,2016,+,-,+,Mixed
20,2017,+,-,+,Mixed
20,2018,+,-,+,Mixed
20,2019,+,-,+,Mixed
20,2020,+,-,+,Mixed
20,2021,+,-,-,Reinvestor
20,2022,+,-,+,Mixed
20,2023,+,-,-,Shareholder Returns
20,2024,+,-,+,Mixed
21,2010,+,-,+,Mixed
21,2011,+,-,+,Mixed
21,2012,+,-,-,Shareholder Returns
21,2013,+,-,+,Mixed
21,2014,+,+,+,Cash Accumulator
21,2015,+,-,+,Mixed
21,2016,+,-,+,Mixed
21,2017,+,-,-,Shareholder Returns
21,2018,+,-,-,Shareholder Returns
21,2019,+,-,+,Mixed
21,2020,-,-,-,Pre-Revenue
21,2021,+,-,-,Shareholder Returns
21,2022,+,+,-,Liquidating Assets
21,2023,+,-,+,Mixed
21,2024,+,-,+,Mixed
22,2011,+,-,+,Mixed
22,2012,+,-,-,Shareholder Returns
22,2013,+,-,+,Mixed
22,2014,+,-,-,Shareholder Returns
22,2015,+,-,-,Shareholder Returns
22,2016,-,-,+,Growth Funded by Debt
22,2017,+,-,-,Shareholder Returns
22,2018,+,-,-,Shareholder Returns
22,2019,+,-,+,Mixed
22,2020,-,-,-,Pre-Revenue
22,2021,+,-,+,Mixed
22,2022,+,+,-,Liquidating Assets
22,2023,+,-,+,Mixed
22,2024,+,-,+,Mixed
23,2012,+,-,-,Shareholder Returns
23,2013,+,-,-,Shareholder Returns
23,2014,+,-,-,Shareholder Returns
23,2015,+,-,-,Shareholder Returns
23,2016,+,-,-,Shareholder Returns
23,2017,+,-,-,Shareholder Returns
23,2018,+,-,-,Shareholder Returns
23,2019,+,-,+,Mixed
23,2020,+,+,+,Cash Accumulator
23,2021,+,-,+,Mixed
23,2022,+,-,-,Shareholder Returns
23,2023,+,-,+,Mixed
23,2024,+,+,+,Cash Accumulator
24,2023,+,-,-,Shareholder Returns
24,2024,+,-,+,Mixed
25,2012,+,-,+,Mixed
25,2013,+,-,+,Mixed
25,2014,+,-,+,Mixed
25,2015,+,-,-,Shareholder Returns
25,2016,+,-,-,Shareholder Returns
25,2017,+,-,-,Shareholder Returns
25,2018,+,-,-,Shareholder Returns
25,2019,+,-,+,Mixed
25,2020,+,-,+,Mixed
25,2021,+,-,-,Shareholder Returns
25,2022,+,-,-,Shareholder Returns
25,2023,+,-,+,Mixed
25,2024,+,-,+,Mixed
26,2012,-,-,+,Growth Funded by Debt
26,2013,+,-,-,Reinvestor
26,2014,+,-,-,Reinvestor
26,2015,+,-,-,Reinvestor
26,2016,+,-,-,Reinvestor
26,2017,+,-,+,Mixed
26,2018,-,-,+,Growth Funded by Debt
26,2019,+,-,+,Mixed
26,2020,-,-,-,Pre-Revenue
26,2021,+,-,+,Mixed
26,2022,+,-,+,Mixed
26,2023,+,+,+,Cash Accumulator
26,2024,+,+,+,Cash Accumulator
27,2013,+,-,+,Mixed
27,2014,+,-,+,Mixed
27,2015,+,+,-,Liquidating Assets
27,2016,+,-,+,Mixed
27,2017,+,-,-,Shareholder Returns
27,2018,+,-,-,Shareholder Returns
27,2019,+,-,+,Mixed
27,2020,+,-,+,Mixed
27,2021,+,-,-,Shareholder Returns
27,2022,+,+,-,Liquidating Assets
27,2023,+,-,-,Shareholder Returns
27,2024,+,-,-,Shareholder Returns
28,2010,+,-,+,Mixed
28,2011,+,-,-,Shareholder Returns
28,2012,+,+,-,Liquidating Assets
28,2013,+,-,+,Mixed
28,2014,+,+,-,Liquidating Assets
28,2015,+,-,+,Mixed
28,2016,+,-,+,Mixed
28,2017,-,-,+,Growth Funded by Debt
28,2018,+,-,-,Shareholder Returns
28,2019,+,-,+,Mixed
28,2020,+,-,-,Reinvestor
28,2021,+,-,+,Mixed
28,2022,+,-,+,Mixed
28,2023,+,-,-,Shareholder Returns
28,2024,+,-,+,Mixed
29,2012,+,-,-,Shareholder Returns
29,2013,+,-,+,Mixed
29,2014,+,-,-,Reinvestor
29,2015,+,-,-,Reinvestor
29,2016,+,-,-,Shareholder Returns
29,2017,+,-,-,Shareholder Returns
29,2018,+,-,-,Shareholder Returns
29,2019,+,-,+,Mixed
29,2020,+,-,-,Shareholder Returns
29,2021,-,-,-,Pre-Revenue
29,2022,+,-,-,Reinvestor
29,2023,+,+,+,Cash Accumulator
29,2024,+,-,-,Shareholder Returns
30,2013,+,-,-,Shareholder Returns
30,2014,+,-,-,Reinvestor
30,2015,+,-,+,Mixed
30,2016,-,-,-,Pre-Revenue
30,2017,+,-,-,Reinvestor
30,2018,+,-,+,Mixed
30,2019,+,-,+,Mixed
30,2020,+,-,-,Shareholder Returns
30,2021,+,-,-,Shareholder Returns
30,2022,+,-,+,Mixed
30,2023,+,-,-,Shareholder Returns
30,2024,+,-,-,Shareholder Returns
31,2010,+,-,-,Shareholder Returns
31,2011,+,-,-,Shareholder Returns
31,2012,+,-,+,Mixed
31,2013,+,-,+,Mixed
31,2014,+,-,-,Shareholder Returns
31,2015,+,-,+,Mixed
31,2016,-,-,+,Growth Funded by Debt
31,2017,+,-,-,Reinvestor
31,2018,+,-,-,Reinvestor
31,2019,+,-,-,Reinvestor
31,2020,+,-,+,Mixed
31,2021,+,-,+,Mixed
31,2022,+,-,-,Shareholder Returns
31,2023,+,-,+,Mixed
31,2024,+,-,-,Shareholder Returns
32,2011,+,-,+,Mixed
32,2012,+,-,-,Reinvestor
32,2013,+,-,-,Reinvestor
32,2014,-,-,-,Pre-Revenue
32,2015,+,-,-,Reinvestor
32,2016,+,-,+,Mixed
32,2017,+,-,-,Reinvestor
32,2018,+,-,-,Shareholder Returns
32,2019,+,-,-,Shareholder Returns
32,2020,+,-,-,Shareholder Returns
32,2021,+,-,-,Shareholder Returns
32,2022,+,-,-,Shareholder Returns
32,2023,+,-,-,Shareholder Returns
32,2024,-,-,+,Growth Funded by Debt
33,2013,+,-,+,Mixed
33,2014,+,-,+,Mixed
33,2015,+,-,-,Shareholder Returns
33,2016,+,-,+,Mixed
33,2017,+,-,+,Mixed
33,2018,-,-,+,Growth Funded by Debt
33,2019,+,-,+,Mixed
33,2020,+,-,+,Mixed
33,2021,+,-,-,Reinvestor
33,2022,+,-,+,Mixed
33,2023,+,+,-,Liquidating Assets
33,2024,+,-,-,Reinvestor
34,2011,+,-,+,Mixed
34,2012,+,-,+,Mixed
34,2013,+,+,-,Liquidating Assets
34,2014,+,-,+,Mixed
34,2015,+,-,+,Mixed
34,2016,+,-,+,Mixed
34,2017,+,-,-,Shareholder Returns
34,2018,+,-,+,Mixed
34,2019,+,-,+,Mixed
34,2020,+,+,-,Liquidating Assets
34,2021,+,-,-,Shareholder Returns
34,2022,+,+,+,Cash Accumulator
34,2023,+,-,+,Mixed
34,2024,+,-,+,Mixed
35,2011,+,-,+,Mixed
35,2012,+,-,+,Mixed
35,2013,+,+,+,Cash Accumulator
35,2014,+,-,-,Shareholder Returns
35,2015,+,-,+,Mixed
35,2016,+,-,-,Shareholder Returns
35,2017,+,-,-,Shareholder Returns
35,2018,+,-,-,Shareholder Returns
35,2019,+,-,-,Shareholder Returns
35,2020,+,-,+,Mixed
35,2021,+,-,+,Mixed
35,2022,+,+,-,Liquidating Assets
35,2023,+,-,+,Mixed
35,2024,+,-,+,Mixed
35,2010,+,+,+,Cash Accumulator
36,2023,+,-,-,Shareholder Returns
36,2024,+,-,+,Mixed
36,2021,+,-,-,Reinvestor
36,2022,+,-,+,Mixed
37,2011,+,-,+,Mixed
37,2012,+,-,-,Shareholder Returns
37,2013,+,-,+,Mixed
37,2014,+,-,-,Shareholder Returns
37,2015,-,-,-,Pre-Revenue
37,2016,+,-,+,Mixed
37,2017,+,+,-,Liquidating Assets
37,2018,-,-,-,Pre-Revenue
37,2019,+,-,-,Reinvestor
37,2020,+,-,+,Mixed
37,2021,+,-,-,Reinvestor
37,2022,+,-,+,Mixed
37,2023,+,-,-,Reinvestor
37,2024,+,-,-,Reinvestor
38,2011,+,-,+,Mixed
38,2012,+,-,+,Mixed
38,2013,+,-,-,Shareholder Returns
38,2014,+,+,+,Cash Accumulator
38,2015,+,-,+,Mixed
38,2016,+,-,+,Mixed
38,2017,+,-,-,Shareholder Returns
38,2018,+,-,+,Mixed
38,2019,+,-,+,Mixed
38,2020,+,-,-,Shareholder Returns
38,2021,+,-,+,Mixed
38,2022,+,-,-,Shareholder Returns
38,2023,+,-,-,Shareholder Returns
38,2024,+,-,+,Mixed
39,2010,+,-,+,Mixed
39,2011,-,+,+,Distress Signal
39,2012,+,-,-,Reinvestor
39,2013,+,-,+,Mixed
39,2014,+,-,+,Mixed
39,2015,+,-,-,Reinvestor
39,2016,-,-,-,Pre-Revenue
39,2017,+,-,-,Reinvestor
39,2018,+,-,-,Reinvestor
39,2019,+,-,-,Reinvestor
39,2020,+,-,-,Reinvestor
39,2021,+,-,+,Mixed
39,2022,+,-,+,Mixed
39,2023,+,-,-,Shareholder Returns
39,2024,+,-,-,Shareholder Returns
40,2013,+,-,+,Mixed
40,2014,+,-,-,Shareholder Returns
40,2015,-,-,+,Growth Funded by Debt
40,2016,+,-,+,Mixed
40,2017,+,+,+,Cash Accumulator
40,2018,+,-,-,Shareholder Returns
40,2019,-,-,-,Pre-Revenue
40,2020,+,-,+,Mixed
40,2021,+,-,-,Shareholder Returns
40,2022,+,-,+,Mixed
40,2023,+,-,+,Mixed
40,2024,+,+,+,Cash Accumulator
41,2012,-,-,+,Growth Funded by Debt
41,2013,+,+,-,Liquidating Assets
41,2014,+,+,-,Liquidating Assets
41,2015,+,-,-,Shareholder Returns
41,2016,+,-,-,Shareholder Returns
41,2017,+,-,-,Shareholder Returns
41,2018,+,-,-,Shareholder Returns
41,2019,+,-,-,Shareholder Returns
41,2020,+,-,-,Shareholder Returns
41,2021,+,-,+,Mixed
41,2022,+,-,-,Shareholder Returns
41,2023,+,-,-,Shareholder Returns
41,2024,+,-,-,Shareholder Returns
42,2010,+,-,+,Mixed
42,2011,+,-,+,Mixed
42,2012,+,-,+,Mixed
42,2013,+,-,-,Shareholder Returns
42,2014,+,-,-,Shareholder Returns
42,2015,+,+,-,Liquidating Assets
42,2016,+,-,-,Shareholder Returns
42,2017,-,-,+,Growth Funded by Debt
42,2018,+,-,-,Shareholder Returns
42,2019,+,-,+,Mixed
42,2020,+,-,+,Mixed
42,2021,+,-,+,Mixed
42,2022,+,+,-,Liquidating Assets
42,2023,+,+,-,Liquidating Assets
42,2024,+,-,+,Mixed
43,2010,+,+,-,Liquidating Assets
43,2011,+,-,-,Shareholder Returns
43,2012,+,-,+,Mixed
43,2013,+,-,-,Shareholder Returns
43,2014,+,-,+,Mixed
43,2015,+,-,-,Shareholder Returns
43,2016,+,+,+,Cash Accumulator
43,2017,+,-,-,Shareholder Returns
43,2018,+,-,-,Shareholder Returns
43,2019,+,+,+,Cash Accumulator
43,2020,+,-,-,Shareholder Returns
43,2021,+,-,-,Reinvestor
43,2022,-,-,-,Pre-Revenue
43,2023,+,-,-,Reinvestor
43,2024,+,-,+,Mixed
44,2011,+,-,+,Mixed
44,2012,+,-,-,Reinvestor
44,2013,+,-,+,Mixed
44,2014,+,-,+,Mixed
44,2015,+,+,+,Cash Accumulator
44,2016,+,-,+,Mixed
44,2017,+,-,-,Shareholder Returns
44,2018,+,-,+,Mixed
44,2019,-,-,-,Pre-Revenue
44,2020,+,-,+,Mixed
44,2021,+,-,-,Shareholder Returns
44,2022,+,-,-,Reinvestor
44,2023,+,-,-,Reinvestor
44,2024,+,-,+,Mixed
45,2011,+,-,+,Mixed
45,2012,+,-,-,Shareholder Returns
45,2013,+,-,+,Mixed
45,2014,+,-,-,Shareholder Returns
45,2015,+,-,-,Shareholder Returns
45,2016,+,-,+,Mixed
45,2017,+,-,-,Shareholder Returns
45,2018,-,+,+,Distress Signal
45,2019,+,-,+,Mixed
45,2020,+,+,+,Cash Accumulator
45,2021,+,-,-,Reinvestor
45,2022,+,-,-,Shareholder Returns
45,2023,+,-,-,Shareholder Returns
45,2024,+,-,-,Shareholder Returns
45,2010,+,-,-,Reinvestor
46,2010,+,-,+,Mixed
46,2011,+,-,-,Shareholder Returns
46,2012,+,-,-,Reinvestor
46,2013,+,-,-,Shareholder Returns
46,2014,+,-,+,Mixed
46,2015,+,-,+,Mixed
46,2016,+,-,-,Shareholder Returns
46,2017,+,-,+,Mixed
46,2018,+,-,-,Reinvestor
46,2019,+,+,+,Cash Accumulator
46,2020,+,-,+,Mixed
46,2021,+,-,-,Reinvestor
46,2022,+,-,+,Mixed
46,2023,+,+,-,Liquidating Assets
46,2024,+,-,+,Mixed
47,2013,+,-,-,Shareholder Returns
47,2014,+,-,-,Shareholder Returns
47,2015,+,-,+,Mixed
47,2016,+,+,-,Liquidating Assets
47,2017,+,-,+,Mixed
47,2018,+,-,-,Shareholder Returns
47,2019,+,-,+,Mixed
47,2020,+,-,+,Mixed
47,2021,+,-,-,Shareholder Returns
47,2022,+,-,-,Shareholder Returns
47,2023,+,-,-,Shareholder Returns
47,2024,+,-,+,Mixed
48,2022,+,-,+,Mixed
48,2023,+,-,+,Mixed
48,2024,+,-,-,Reinvestor
49,2011,-,-,+,Growth Funded by Debt
49,2012,+,-,+,Mixed
49,2013,+,-,-,Shareholder Returns
49,2014,+,-,-,Shareholder Returns
49,2015,+,+,-,Liquidating Assets
49,2016,+,-,+,Mixed
49,2017,+,-,-,Shareholder Returns
49,2018,+,-,+,Mixed
49,2019,+,-,-,Shareholder Returns
49,2020,+,-,-,Shareholder Returns
49,2021,-,-,+,Growth Funded by Debt
49,2022,-,-,+,Growth Funded by Debt
49,2023,+,-,+,Mixed
49,2024,+,-,-,Reinvestor
50,2010,+,-,-,Shareholder Returns
50,2011,+,-,+,Mixed
50,2012,+,-,+,Mixed
50,2013,+,-,+,Mixed
50,2014,+,-,-,Shareholder Returns
50,2015,+,-,+,Mixed
50,2016,+,-,+,Mixed
50,2017,+,-,-,Reinvestor
50,2018,-,-,+,Growth Funded by Debt
50,2019,+,-,-,Shareholder Returns
50,2020,+,-,+,Mixed
50,2021,+,-,-,Shareholder Returns
50,2022,+,-,+,Mixed
50,2023,+,-,-,Shareholder Returns
50,2024,+,-,+,Mixed
51,2011,+,-,+,Mixed
51,2012,+,-,+,Mixed
51,2013,+,+,-,Liquidating Assets
51,2014,+,-,-,Shareholder Returns
51,2015,+,-,-,Shareholder Returns
51,2016,+,-,-,Shareholder Returns
51,2017,+,-,+,Mixed
51,2018,+,-,+,Mixed
51,2019,+,+,+,Cash Accumulator
51,2020,+,-,+,Mixed
51,2021,+,-,-,Shareholder Returns
51,2022,+,-,-,Shareholder Returns
51,2023,+,-,-,Shareholder Returns
51,2024,+,-,+,Mixed
52,2010,+,-,-,Reinvestor
52,2011,+,-,+,Mixed
52,2012,+,+,+,Cash Accumulator
52,2013,+,-,-,Shareholder Returns
52,2014,+,-,+,Mixed
52,2015,+,-,-,Shareholder Returns
52,2016,+,-,-,Shareholder Returns
52,2017,+,-,+,Mixed
52,2018,+,-,-,Shareholder Returns
52,2019,+,-,+,Mixed
52,2020,+,-,-,Shareholder Returns
52,2021,+,-,-,Shareholder Returns
52,2022,-,-,+,Growth Funded by Debt
52,2023,+,-,+,Mixed
52,2024,+,-,+,Mixed
53,2010,+,+,+,Cash Accumulator
53,2011,-,-,-,Pre-Revenue
53,2012,+,-,-,Reinvestor
53,2013,+,-,-,Reinvestor
53,2014,+,-,+,Mixed
53,2015,+,-,+,Mixed
53,2016,+,-,+,Mixed
53,2017,+,-,-,Shareholder Returns
53,2018,+,-,+,Mixed
53,2019,+,-,+,Mixed
53,2020,+,-,+,Mixed
53,2021,+,-,+,Mixed
53,2022,+,-,+,Mixed
53,2023,+,-,-,Shareholder Returns
53,2024,+,-,+,Mixed
54,2013,+,-,-,Reinvestor
54,2014,+,-,-,Reinvestor
54,2015,+,-,-,Reinvestor
54,2016,+,-,-,Shareholder Returns
54,2017,+,-,+,Mixed
54,2018,+,-,+,Mixed
54,2019,+,-,+,Mixed
54,2020,+,-,+,Mixed
54,2021,+,-,-,Shareholder Returns
54,2022,+,-,+,Mixed
54,2023,+,-,+,Mixed
54,2024,+,-,+,Mixed
55,2012,+,-,-,Reinvestor
55,2013,+,-,-,Reinvestor
55,2014,+,-,-,Reinvestor
55,2015,+,-,+,Mixed
55,2016,+,-,+,Mixed
55,2017,-,-,-,Pre-Revenue
55,2018,+,-,+,Mixed
55,2019,+,-,+,Mixed
55,2020,+,-,+,Mixed
55,2021,+,+,+,Cash Accumulator
55,2022,+,-,-,Shareholder Returns
55,2023,+,-,-,Shareholder Returns
55,2024,+,-,+,Mixed
56,2013,+,-,-,Shareholder Returns
56,2014,+,-,+,Mixed
56,2015,+,-,-,Shareholder Returns
56,2016,+,-,-,Shareholder Returns
56,2017,+,-,+,Mixed
56,2018,-,-,-,Pre-Revenue
56,2019,+,-,+,Mixed
56,2020,+,-,-,Shareholder Returns
56,2021,+,-,-,Reinvestor
56,2022,+,+,-,Liquidating Assets
56,2023,+,-,+,Mixed
56,2024,+,-,-,Shareholder Returns
57,2013,+,-,+,Mixed
57,2014,+,-,-,Shareholder Returns
57,2015,+,-,+,Mixed
57,2016,+,-,+,Mixed
57,2017,+,-,+,Mixed
57,2018,+,+,+,Cash Accumulator
57,2019,+,-,-,Shareholder Returns
57,2020,+,-,-,Shareholder Returns
57,2021,+,-,+,Mixed
57,2022,+,+,-,Liquidating Assets
57,2023,+,-,+,Mixed
57,2024,+,-,+,Mixed
58,2011,+,-,-,Reinvestor
58,2012,+,-,+,Mixed
58,2013,-,-,+,Growth Funded by Debt
58,2014,+,-,+,Mixed
58,2015,+,+,-,Liquidating Assets
58,2016,+,-,-,Reinvestor
58,2017,+,-,-,Reinvestor
58,2018,+,-,+,Mixed
58,2019,+,-,+,Mixed
58,2020,+,-,-,Shareholder Returns
58,2021,-,-,+,Growth Funded by Debt
58,2022,+,-,+,Mixed
58,2023,+,-,-,Shareholder Returns
58,2024,+,-,-,Shareholder Returns
59,2011,-,-,-,Pre-Revenue
59,2012,+,-,-,Reinvestor
59,2013,+,-,-,Reinvestor
59,2014,-,-,-,Pre-Revenue
59,2015,+,-,+,Mixed
59,2016,+,-,+,Mixed
59,2017,+,-,+,Mixed
59,2018,+,-,+,Mixed
59,2019,+,-,+,Mixed
59,2020,+,-,-,Shareholder Returns
59,2021,+,-,-,Shareholder Returns
